bot,user,timestamp,namespace,title,comment,length_old,length_new,revision_old,revision_new
False,Eh Oh Canada,1731522276,10,Template:2025 Africa Cup of Nations qualification group tables,,26557,26548,1257160862,1257190679
True,Cewbot,1731522278,1,Talk:Sophie Baggaley,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),314,302,1205615478,1257190684
True,Cewbot,1731522281,1,Talk:Samir Bağırov,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 2 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),284,273,1205618895,1257190695
True,AnomieBOT,1731522274,4,Wikipedia:Changing username/Usurpations/Completed/57,Archiving 1 request from [[WP:CHU/U]] Errors? [[User:AnomieBOT/shutoff/CHUUClerk]],31741,38617,1256699160,1257190675
True,B-bot,1731522279,3,User talk:Azure1233,Notification that [[:File:Los Coyotes Band of Cahuilla and Cupeno Indians flag.png]] is orphaned and will be deleted in seven days per [[WP:CSD#F5]],39525,40694,1257189928,1257190689
True,Cewbot,1731522275,1,Talk:Gavro Bagić,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),232,220,1205617214,1257190677
True,Cewbot,1731522284,1,Talk:Zubaida Bai,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),222,210,1205626976,1257190702
True,Cewbot,1731522287,1,Talk:Barbara Baert,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),246,235,1205610947,1257190711
True,Cewbot,1731522290,1,Talk:Karen Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),416,404,1205630557,1257190722
False,Robert McClenon,1731522284,118,Draft:Meri Guriya,Added {{[[Template:Merge to|Merge to]]}} tag,6917,6961,1257190656,1257190701
False,ProfGray,1731522287,0,Abraham ben Isaac of Narbonne,/* Writings */ ce for new blue link!,6597,6597,1253333924,1257190706
False,Robert McClenon,1731522285,0,Meri Guriya,Added {{[[Template:Merge from|Merge from]]}} tag,7953,8005,1253800144,1257190704
False,163.47.148.251,1731522291,0,National Hero of Nepal,/* List of national heroes of Nepal */,2545,2546,1257190670,1257190727
True,Cewbot,1731522293,1,Talk:Hamid Baeidinejad,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),1300,1288,1205609162,1257190729
True,Cewbot,1731522296,1,Talk:Adrian Bailey (academic),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),261,249,1205628805,1257190735
False,Patapsco913,1731522295,0,List of U.S. communities with African-American majority populations in 2000,/* Georgia */ ce,80688,80695,1257039231,1257190732
True,Cewbot,1731522299,1,Talk:Mehdi Baghdad,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),224,213,1205817504,1257190745
False,Baylorc,1731522303,0,Sculpture of a horse (Olympia B 1741),Added short description,2820,2867,1208507914,1257190757
True,Cewbot,1731522302,1,Talk:Abdullah Badri,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),284,273,1205607819,1257190755
True,Cewbot,1731522305,1,Talk:Dorothy F. Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),194,183,1205630563,1257190764
True,Lowercase sigmabot III,1731522300,3,User talk:MaxSem,Archiving 1 discussion(s) to [[User talk:MaxSem/Archives/January 2024]]) (bot,5267,3974,1257051640,1257190748
False,Hammersoft,1731522300,2,User:Hammersoft/adminlog,/* WP:UAA */ +1,393820,393984,1256479935,1257190743
True,Cewbot,1731522317,1,Talk:Bahimiron,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 2 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),172,161,1205623040,1257190806
True,B-bot,1731522310,6,File:MCV-Develop 951 cover.jpg,"Tagging orphaned non-free image for deletion.  If this image is not added to an article in the next seven days, it will be deleted.",478,529,985735620,1257190779
True,Cewbot,1731522311,1,Talk:Parviz Baghirov,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),1280,1269,1205617239,1257190790
